2		:number of axes	
2	3	:axis 1 address, axis 2 addr, ...
   100.000      6.400  :speed, acceleration
36	0	:number of path points, segmented flag (1 = segmented, 0 = continuous)
-61	695	:axis 1 coordinate (in steps), axis 2 coord, ...
-241	1368
-536	2000
-936	2571
-1429	3064
-2000	3464
-2632	3759
-3305	3939
-4000	4000
-4695	3939
-5368	3759
-6000	3464
-6571	3064
-7064	2571
-7464	2000
-7759	1368
-7939	695
-8000	0
-7939	-695
-7759	-1368
-7464	-2000
-7064	-2571
-6571	-3064
-6000	-3464
-5368	-3759
-4695	-3939
-4000	-4000
-3305	-3939
-2632	-3759
-2000	-3464
-1429	-3064
-936	-2571
-536	-2000
-241	-1368
-61	-695
0	0
